id,category,question,answer
1,Ordering,How do I place an order on your website?,"Just browse our grocery categories, add items to your cart, and click Checkout. You'll enter your delivery address and payment details to confirm the order."
2,Ordering,Is there a mobile app I can use to order?,"Yes, our app is available on both Android and iOS. You can browse, order, and track deliveries right from your phone."
3,Ordering,Can I order groceries without creating an account?,You'll need to create a free account first so we can save your delivery address and order history for a smoother experience.
4,Ordering,Is there a minimum order value?,"Yes, orders must be at least Rs. 1,000 in value before checkout is allowed."
5,Ordering,What is the smallest amount I can order?,"The minimum order value is Rs. 1,000, excluding delivery charges."
6,Ordering,Can I edit my order after placing it?,"You can edit your order within 30 minutes of placing it by contacting our support team. After that, it moves into packing and can't be changed."
7,Ordering,How do I cancel an order?,"Go to 'My Orders', select the order, and click Cancel. Cancellation is only possible before the order has been packed."
8,Ordering,Can I cancel my order after it has been dispatched?,"Unfortunately no, once an order is out for delivery it cannot be cancelled. You may refuse it at the door, but a restocking charge may apply."
9,Ordering,Can I schedule a delivery for a future date?,"Yes, at checkout you can choose a preferred delivery date and time slot up to 5 days in advance."
10,Ordering,Do you deliver on the same day I order?,"Same-day delivery is available if you order before 2:00 PM, subject to availability in your area."
11,Ordering,How will I know if my order was placed successfully?,You'll receive an order confirmation on-screen along with an SMS and email with your order number.
12,Ordering,Can I add items to an order I've already placed?,"No, once an order is confirmed you can't add items to it. You'll need to place a new order for additional items."
13,Ordering,Is there a limit on how many of the same item I can order?,"Yes, promotional items are usually limited to 3 units per customer per order to keep stock fair for everyone."
14,Ordering,Can I place a bulk order for an event?,"Yes, for bulk orders above Rs. 25,000 please contact our customer care team directly so we can arrange it properly."
15,Ordering,What happens if I order an item that's actually out of stock?,"If an item becomes unavailable after you order, we'll call you before delivery to offer a substitute or remove it from your bill."
16,Delivery,How long does delivery take?,Delivery usually takes between 24 to 48 hours depending on your location and the time slot you choose.
17,Delivery,When will my order arrive?,Most orders are delivered within 1-2 days. You'll get an estimated delivery window when you place your order.
18,Delivery,Do you deliver to all areas in Sri Lanka?,We currently deliver within Colombo and major surrounding cities. You can check availability for your area by entering your postal code at checkout.
19,Delivery,Is delivery available outside Colombo?,"We're expanding, but right now delivery is limited to Colombo and nearby districts. Check your area's availability during checkout."
20,Delivery,How much is the delivery charge?,"A flat delivery fee of Rs. 350 applies to all orders, regardless of order size."
21,Delivery,Is delivery free if I spend a certain amount?,"Yes, delivery is free for orders above Rs. 10,000."
22,Delivery,Can I track my delivery in real time?,"Yes, once your order is out for delivery you'll get a tracking link via SMS to follow its progress."
23,Delivery,How do I check where my order is?,"Go to 'My Orders' and click 'Track Order' to see the live status, or use the tracking link sent to your phone."
24,Delivery,Do you deliver on public holidays?,"We deliver on most public holidays, but liquor and meat items cannot be delivered on Poya (full moon) days due to legal restrictions."
25,Delivery,Can I get my order delivered on a Poya day?,"General groceries can still be delivered, but alcohol and meat products are excluded on Poya days by law."
26,Delivery,What if I'm not home when the delivery arrives?,"Our rider will try calling you. If there's no response within 10 minutes, the order will be returned and a re-delivery fee may apply."
27,Delivery,Can someone else receive my order on my behalf?,"Yes, just let us know the receiver's name in the order notes so our rider can confirm it at the door."
28,Delivery,Do you offer a specific delivery time slot?,"Yes, at checkout you can choose from morning, afternoon, or evening delivery slots."
29,Delivery,What happens if an item I ordered is missing from the delivery?,"You'll be notified in advance by phone if any item is unavailable, and it will be removed from your final bill automatically."
30,Delivery,Will I be charged for items that couldn't be delivered?,"No, you're only charged for the items actually delivered to you. The bill is adjusted before payment or refunded if pre-paid."
31,Delivery,Can I pick up my order instead of getting it delivered?,"Yes, you can select 'Store Pickup' at checkout and collect your order from your nearest branch."
32,Delivery,Is there a pickup option to avoid delivery charges?,"Yes, choosing in-store pickup at checkout removes the delivery fee entirely."
33,Delivery,Do you deliver frozen and chilled items safely?,"Yes, we use insulated delivery bags and cold-chain vehicles to keep frozen and chilled items fresh during transit."
34,Delivery,What if my frozen items arrive melted or spoiled?,"Please contact support within 24 hours with a photo, and we'll offer a replacement or refund immediately."
35,Delivery,Can I change my delivery address after ordering?,"Yes, as long as the order hasn't been dispatched yet. Contact support quickly to update it."
36,Delivery,How do I change my delivery time after checkout?,"Go to 'My Orders', select the order, and choose 'Reschedule Delivery' if it hasn't been dispatched yet."
